"country_name","year","misery_3_year_moving_avg","avg_misery_index_rank","welfare_level"
Indonesia,2016,9.713333,10,Vulnerable
Canada,2016,8.490000,11,Vulnerable
Australia,2016,7.710000,12,Stable
Saudi Arabia,2016,7.530000,13,Stable
Mexico,2016,7.513333,14,Stable
United Kingdom,2016,6.563333,15,Stable
United States,2016,6.440000,16,Stable
China,2016,6.400000,17,Stable
Germany,2016,5.200000,18,High Welfare
Japan,2016,4.510000,19,High Welfare
"Korea, Rep.",2016,4.410000,20,High Welfare
Switzerland,2016,4.323333,21,High Welfare
South Africa,2017,31.680000,1,High Risk
Greece,2017,22.816666,2,High Risk
Spain,2017,20.060000,3,High Risk
Turkiye,2017,19.570000,4,High Risk
Brazil,2017,18.043333,5,High Risk
Russian Federation,2017,14.233333,6,Vulnerable
India,2017,12.020000,7,Vulnerable
Italy,2017,11.993333,8,Vulnerable
France,2017,10.356666,9,Vulnerable
Indonesia,2017,8.763333,10,Vulnerable
Canada,2017,8.190000,11,Vulnerable
Mexico,2017,7.720000,12,Stable
Australia,2017,7.366666,13,Stable
Saudi Arabia,2017,6.510000,14,Stable
United Kingdom,2017,6.300000,15,Stable
China,2017,6.236666,16,Stable
United States,2017,6.006666,17,Stable
Germany,2017,5.000000,18,High Welfare
"Korea, Rep.",2017,4.823333,19,High Welfare
Switzerland,2017,4.493333,20,High Welfare
Japan,2017,3.493333,21,High Welfare
Argentina,2018,43.500000,1,High Risk
South Africa,2018,32.263333,2,High Risk
Turkiye,2018,22.676666,3,High Risk
Greece,2018,21.673333,4,High Risk
Spain,2018,18.516666,5,High Risk
Brazil,2018,17.516666,6,Vulnerable
Italy,2018,11.906666,7,Vulnerable
India,2018,11.703333,8,Vulnerable
France,2018,10.516666,9,Vulnerable
Russian Federation,2018,9.766666,10,Vulnerable
Canada,2018,8.203333,11,Vulnerable
Mexico,2018,8.103333,12,Stable
Indonesia,2018,7.670000,13,Stable
Australia,2018,7.260000,14,Stable
Saudi Arabia,2018,7.070000,15,Stable
United Kingdom,2018,6.470000,16,Stable
China,2018,6.333333,17,Stable
United States,2018,6.320000,18,High Welfare
"Korea, Rep.",2018,5.170000,19,High Welfare
Switzerland,2018,5.156666,20,High Welfare
Germany,2018,4.996666,21,High Welfare
Japan,2018,3.253333,22,High Welfare
Argentina,2019,53.445000,1,High Risk
South Africa,2019,32.073333,2,High Risk
Turkiye,2019,26.086666,3,High Risk
Greece,2019,19.880000,4,High Risk
Spain,2019,16.970000,5,High Risk
Brazil,2019,15.966666,6,Vulnerable
Italy,2019,11.536666,7,Vulnerable
India,2019,10.930000,8,Vulnerable
France,2019,10.276666,9,Vulnerable
Russian Federation,2019,8.550000,10,Vulnerable
Mexico,2019,8.253333,11,Vulnerable
Canada,2019,7.926666,12,Stable
Indonesia,2019,7.266666,13,Stable
Australia,2019,7.180000,14,Stable
China,2019,6.633333,15,Stable
United Kingdom,2019,6.296666,16,Stable
United States,2019,6.103333,17,Stable
Saudi Arabia,2019,6.003333,18,High Welfare
Switzerland,2019,5.243333,19,High Welfare
"Korea, Rep.",2019,5.006666,20,High Welfare
Germany,2019,5.003333,21,High Welfare
Japan,2019,3.193333,22,High Welfare
Argentina,2020,53.456666,1,High Risk
South Africa,2020,32.146666,2,High Risk
Turkiye,2020,27.210000,3,High Risk
Greece,2020,17.253333,4,High Risk
Brazil,2020,16.190000,5,High Risk
Spain,2020,15.646666,6,Vulnerable
India,2020,12.103333,7,Vulnerable
Italy,2020,10.406666,8,Vulnerable
France,2020,9.626666,9,Vulnerable
Canada,2020,8.710000,10,Vulnerable
Russian Federation,2020,8.576666,11,Vulnerable
Saudi Arabia,2020,7.993333,12,Stable
Mexico,2020,7.713333,13,Stable
China,2020,7.086666,14,Stable
Australia,2020,7.080000,15,Stable
United States,2020,7.033333,16,Stable
Indonesia,2020,6.796666,17,Stable
United Kingdom,2020,5.763333,18,High Welfare
Switzerland,2020,4.830000,19,High Welfare
"Korea, Rep.",2020,4.633333,20,High Welfare
Germany,2020,4.580000,21,High Welfare
Japan,2020,3.023333,22,High Welfare
Argentina,2021,58.006666,1,High Risk
South Africa,2021,34.550000,2,High Risk
Turkiye,2021,28.636666,3,High Risk
Brazil,2021,18.013333,4,High Risk
Spain,2021,16.003333,5,High Risk
Greece,2021,15.943333,6,Vulnerable
India,2021,12.076666,7,Vulnerable
Italy,2021,10.303333,8,Vulnerable
Russian Federation,2021,9.806666,9,Vulnerable
Canada,2021,9.650000,10,Vulnerable
France,2021,9.173333,11,Vulnerable
Saudi Arabia,2021,8.386666,12,Stable
United States,2021,8.270000,13,Stable
Mexico,2021,8.223333,14,Stable
Australia,2021,7.290000,15,Stable
China,2021,6.803333,16,Stable
United Kingdom,2021,6.080000,17,Stable
Indonesia,2021,6.063333,18,High Welfare
Germany,2021,5.096666,19,High Welfare
"Korea, Rep.",2021,4.913333,20,High Welfare
Switzerland,2021,4.810000,21,High Welfare
Japan,2021,2.730000,22,High Welfare
Argentina,2022,63.286666,1,High Risk
Turkiye,2022,46.590000,2,High Risk
South Africa,2022,37.130000,3,High Risk
Brazil,2022,18.960000,4,High Risk
Spain,2022,18.210000,5,High Risk
Greece,2022,17.536666,6,Vulnerable
Russian Federation,2022,12.683333,7,Vulnerable
India,2022,12.503333,8,Vulnerable
Italy,2022,12.230000,9,Vulnerable
Canada,2022,11.130000,10,Vulnerable
United States,2022,10.326666,11,Vulnerable
France,2022,10.173333,12,Stable
Saudi Arabia,2022,9.590000,13,Stable
Mexico,2022,9.570000,14,Stable
Australia,2022,8.480000,15,Stable
United Kingdom,2022,8.176666,16,Stable
Germany,2022,6.896666,17,Stable
China,2022,6.633333,18,High Welfare
Indonesia,2022,6.413333,19,High Welfare
"Korea, Rep.",2022,6.186666,20,High Welfare
Switzerland,2022,5.546666,21,High Welfare
Japan,2022,3.493333,22,High Welfare
Argentina,2023,92.003333,1,High Risk
Turkiye,2023,59.196666,2,High Risk
South Africa,2023,39.040000,3,High Risk
Spain,2023,18.376666,4,High Risk
Brazil,2023,17.503333,5,High Risk
Greece,2023,17.480000,6,Vulnerable
Italy,2023,13.630000,7,Vulnerable
Russian Federation,2023,12.666666,8,Vulnerable
France,2023,11.416666,9,Vulnerable
India,2023,10.950000,10,Vulnerable
Canada,2023,10.770000,11,Vulnerable
United Kingdom,2023,9.963333,12,Stable
United States,2023,9.820000,13,Stable
Mexico,2023,9.723333,14,Stable
Australia,2023,9.156666,15,Stable
Germany,2023,8.563333,16,Stable
Saudi Arabia,2023,8.026666,17,Stable
"Korea, Rep.",2023,6.786666,18,High Welfare
Indonesia,2023,6.680000,19,High Welfare
Switzerland,2023,6.243333,20,High Welfare
China,2023,5.793333,21,High Welfare
Japan,2023,4.520000,22,High Welfare
Argentina,2024,148.630000,1,High Risk
Turkiye,2024,71.110000,2,High Risk
South Africa,2024,38.376666,3,High Risk
Spain,2024,17.100000,4,High Risk
Greece,2024,16.440000,5,High Risk
Brazil,2024,14.073333,6,Vulnerable
Russian Federation,2024,12.473333,7,Vulnerable
Italy,2024,12.333333,8,Vulnerable
France,2024,11.380000,9,Vulnerable
India,2024,10.153333,10,Vulnerable
United Kingdom,2024,10.046666,11,Vulnerable
Canada,2024,10.036666,12,Stable
Mexico,2024,8.953333,13,Stable
Australia,2024,8.900000,14,Stable
United States,2024,8.793333,15,Stable
Germany,2024,8.230000,16,Stable
Indonesia,2024,6.710000,17,Stable
Saudi Arabia,2024,6.536666,18,High Welfare
"Korea, Rep.",2024,6.440000,19,High Welfare
Switzerland,2024,6.180000,20,High Welfare
China,2024,5.553333,21,High Welfare
Japan,2024,5.406666,22,High Welfare
